,country,1990 CO2 per capita,1991 CO2 per capita,1992 CO2 per capita,1993 CO2 per capita,1994 CO2 per capita,1995 CO2 per capita,1996 CO2 per capita,1997 CO2 per capita,1998 CO2 per capita,1999 CO2 per capita,2000 CO2 per capita,2001 CO2 per capita,2002 CO2 per capita,2003 CO2 per capita,2004 CO2 per capita,2005 CO2 per capita,2006 CO2 per capita,2007 CO2 per capita,2008 CO2 per capita,2009 CO2 per capita,2010 CO2 per capita,2011 CO2 per capita,2012 CO2 per capita,2013 CO2 per capita,2014 CO2 per capita,2015 CO2 per capita,2016 CO2 per capita,2017 CO2 per capita,2018 CO2 per capita,2019 CO2 per capita,2020 CO2 per capita,2021 CO2 per capita,2022 CO2 per capita,2023 CO2 per capita
0,Afghanistan,0.168,0.156,0.112,0.1,0.089,0.083,0.077,0.071,0.067,0.055,0.052,0.053,0.063,0.069,0.053,0.077,0.085,0.108,0.161,0.233,0.296,0.403,0.328,0.292,0.277,0.286,0.257,0.271,0.289,0.286,0.297,0.257,0.26,0.266
1,Africa,1.024,1.042,0.984,1.016,1.108,1.154,1.162,1.162,1.157,1.112,1.122,1.082,1.032,1.106,1.14,1.126,1.13,1.127,1.156,1.12,1.136,1.145,1.126,1.108,1.143,1.094,1.1,1.087,1.055,1.099,0.983,1.021,0.991,0.959
2,Africa (GCP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,1.684,1.307,0.767,0.713,0.588,0.641,0.622,0.478,0.547,0.937,0.955,1.023,1.196,1.38,1.348,1.385,1.282,1.306,1.469,1.488,1.633,1.825,1.667,1.819,2.066,1.626,1.598,1.826,1.691,1.673,1.64,1.802,1.83,1.83
4,Algeria,3.024,3.032,3.0,3.004,3.177,3.399,3.446,2.988,3.545,3.001,2.763,2.772,2.856,2.939,2.811,3.352,3.149,3.214,3.191,3.349,3.27,3.39,3.604,3.665,3.859,4.0,3.88,3.962,4.063,4.155,3.819,4.012,4.058,3.859
5,Andorra,7.73,7.174,6.754,6.484,6.293,6.648,7.098,7.19,7.507,7.804,7.975,7.954,7.986,7.696,7.541,7.429,6.858,6.576,6.449,6.157,6.4,6.311,6.34,6.332,6.259,6.446,6.496,6.357,6.628,6.419,4.923,5.236,5.263,5.242
6,Angola,0.438,0.421,0.416,0.448,0.857,0.921,1.076,1.083,1.089,1.102,0.988,0.95,0.928,0.974,0.915,0.798,0.857,0.846,0.869,0.922,0.987,0.966,1.03,0.983,0.961,0.977,0.873,0.78,0.745,0.681,0.494,0.556,0.568,0.565
7,Anguilla,5.656,5.457,5.29,5.94,5.792,6.02,6.229,6.06,6.247,6.071,6.872,7.33,7.194,7.388,8.484,8.944,9.678,9.811,9.649,9.482,9.864,9.165,9.023,8.834,8.795,9.781,9.707,8.875,8.945,9.873,9.614,9.853,9.755,10.012
8,Antarctica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Antigua and Barbuda,3.833,3.929,3.868,3.91,4.0,3.975,4.157,4.382,4.452,4.674,4.743,4.864,5.279,5.503,5.724,6.028,6.408,6.546,6.495,6.615,6.44,6.322,6.381,6.323,6.397,6.515,6.637,6.681,6.769,7.017,6.741,6.903,6.657,6.909
10,Argentina,3.424,3.544,3.607,3.455,3.423,3.572,3.693,3.799,3.83,4.031,3.855,3.592,3.285,3.5,4.046,4.12,4.399,4.338,4.634,4.361,4.504,4.548,4.539,4.451,4.379,4.41,4.326,4.22,4.044,3.969,3.654,4.218,4.494,4.3
11,Armenia,2.533,2.042,1.602,0.727,0.798,1.017,0.763,1.002,1.066,0.96,1.117,1.145,1.007,1.137,1.221,1.456,1.472,1.714,1.883,1.481,1.451,1.7,1.967,1.894,1.918,1.872,1.783,1.901,2.001,2.164,2.351,2.584,2.487,2.585
12,Aruba,7.561,7.981,7.818,9.123,8.976,9.313,9.242,9.35,9.621,9.363,26.787,26.652,26.661,27.741,28.063,28.849,28.458,29.205,27.157,26.526,25.03,24.743,13.248,8.395,8.435,8.615,8.411,8.421,8.192,7.732,7.641,7.971,7.712,8.033
13,Asia,2.052,2.252,2.168,2.231,2.3,2.371,2.431,2.428,2.327,2.428,2.492,2.507,2.61,2.835,2.966,3.144,3.316,3.456,3.59,3.675,3.906,4.148,4.254,4.26,4.27,4.25,4.239,4.318,4.409,4.491,4.403,4.588,4.596,4.731
14,Asia (GCP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Asia (excl. China and India),2.958,3.411,3.09,3.127,3.177,3.172,3.214,3.217,3.085,3.187,3.312,3.325,3.353,3.461,3.551,3.583,3.622,3.659,3.673,3.635,3.806,3.894,3.994,3.935,3.919,3.953,3.977,4.06,4.074,4.113,3.933,4.007,4.027,3.985
16,Australia,16.242,16.109,16.213,16.299,16.41,16.858,17.041,17.311,17.867,18.189,18.294,18.475,18.501,18.65,19.113,19.029,19.055,19.064,18.944,18.689,18.297,17.965,17.775,17.174,16.644,16.765,16.868,16.733,16.544,16.316,15.506,14.987,14.67,14.478
17,Austria,8.097,8.48,7.686,7.677,7.695,8.058,8.467,8.445,8.39,8.215,8.259,8.725,8.905,9.528,9.506,9.611,9.288,8.932,8.829,8.065,8.608,8.328,7.979,7.99,7.507,7.677,7.693,7.91,7.528,7.651,6.969,7.333,6.783,6.416
18,Azerbaijan,7.097,6.842,7.585,6.451,5.513,4.315,3.99,3.76,3.96,3.558,3.641,3.444,3.431,3.629,3.799,3.977,3.963,3.402,3.694,3.217,3.012,3.264,3.495,3.53,3.566,3.556,3.519,3.481,3.443,3.733,3.559,3.742,3.923,4.258
19,Bahamas,7.329,7.113,6.535,5.986,5.968,6.101,5.922,5.173,6.309,6.362,6.257,5.934,6.143,6.168,6.028,5.54,5.322,5.299,5.351,5.938,6.062,5.687,5.465,5.25,5.405,5.781,5.76,6.343,6.204,6.35,5.137,6.249,6.041,6.272
20,Bahrain,22.327,21.3,18.99,29.758,24.832,24.854,26.195,27.597,28.583,27.885,28.673,28.115,26.737,25.856,24.331,26.256,24.166,25.18,26.344,23.739,23.965,23.591,22.296,24.783,23.536,23.699,22.076,22.156,21.79,25.295,25.215,24.102,23.249,23.27
21,Bangladesh,0.126,0.13,0.133,0.136,0.146,0.172,0.172,0.182,0.179,0.19,0.197,0.227,0.23,0.238,0.252,0.261,0.285,0.288,0.303,0.326,0.355,0.362,0.385,0.414,0.428,0.483,0.508,0.534,0.53,0.575,0.574,0.642,0.672,0.662
22,Barbados,3.968,4.563,4.472,3.57,3.565,3.889,3.974,4.39,4.665,4.93,4.981,4.968,4.985,5.112,5.174,5.318,5.435,5.428,6.355,6.2,5.678,5.89,5.599,5.52,4.966,4.902,5.035,4.955,5.259,5.08,4.392,4.167,4.05,4.221
23,Belarus,10.636,10.209,9.149,7.866,6.635,5.973,6.074,6.084,5.959,5.774,5.495,5.434,5.453,5.619,5.984,6.135,6.426,6.297,6.594,6.372,6.58,6.472,6.609,6.775,6.719,6.198,6.12,6.253,6.557,6.581,6.315,6.587,6.474,6.197
24,Belgium,12.077,12.338,12.193,12.04,12.337,12.423,12.748,12.178,12.763,12.192,12.361,12.255,12.278,12.36,12.358,11.99,11.744,11.339,11.222,9.968,10.468,9.521,9.222,9.208,8.656,8.982,8.801,8.719,8.764,8.675,7.905,8.2,7.645,7.118
25,Belize,1.701,2.174,1.861,1.936,1.877,1.848,1.463,1.786,1.643,1.493,1.643,1.8,1.689,1.639,1.443,1.506,1.54,1.609,1.433,1.653,1.682,1.69,1.348,1.287,1.344,1.799,1.718,1.649,1.59,1.833,1.494,1.551,1.57,1.625
26,Benin,0.11,0.114,0.119,0.137,0.15,0.154,0.185,0.186,0.164,0.209,0.204,0.227,0.275,0.303,0.318,0.295,0.385,0.439,0.425,0.444,0.478,0.444,0.423,0.426,0.435,0.469,0.456,0.464,0.458,0.413,0.422,0.429,0.421,0.396
27,Bermuda,8.717,9.285,7.901,9.155,8.972,8.922,8.818,8.705,8.577,8.39,8.391,8.525,8.959,8.983,9.31,9.287,10.376,11.568,10.242,7.491,9.541,6.954,5.755,8.412,10.551,8.485,9.757,9.966,10.903,9.256,6.77,7.988,7.733,8.074
28,Bhutan,0.315,0.31,0.372,0.328,0.383,0.454,0.544,0.698,0.671,0.662,0.665,0.761,0.796,0.774,0.676,0.825,0.619,0.585,0.942,0.979,1.29,1.462,1.654,1.825,1.892,2.005,2.172,2.269,2.282,2.117,1.624,2.058,2.094,2.178
29,Bolivia,1.403,1.442,1.482,1.524,1.247,1.145,1.249,1.435,1.354,1.293,0.98,0.999,1.169,1.212,1.199,1.315,1.295,1.311,1.316,1.352,1.446,1.541,1.668,1.663,1.833,1.805,1.9,1.954,1.955,1.937,1.55,1.823,1.853,1.908
30,Bonaire Sint Eustatius and Saba,4.992,3.95,3.226,4.936,4.693,4.602,4.26,4.413,0.241,1.788,4.692,4.689,4.368,4.195,4.222,4.019,4.023,4.356,4.034,3.975,2.64,3.203,3.689,3.536,3.441,3.867,4.176,4.134,3.928,4.285,4.29,4.154,3.843,3.84
31,Bosnia and Herzegovina,4.467,3.153,3.549,3.222,0.86,0.916,1.094,2.082,2.58,2.502,3.294,3.173,3.384,3.436,3.734,3.917,4.279,4.354,5.056,5.293,5.548,6.35,6.031,6.038,5.417,5.247,6.257,6.462,6.518,6.22,6.314,6.553,6.541,6.336
32,Botswana,2.068,1.963,2.012,2.25,2.075,2.031,1.794,1.781,2.08,1.923,2.252,2.247,2.278,2.154,2.155,2.224,2.205,2.212,2.309,1.937,2.232,1.943,2.408,2.645,3.154,2.459,2.839,3.119,3.323,2.885,2.346,2.502,2.703,2.707
33,Brazil,1.466,1.512,1.514,1.558,1.595,1.661,1.762,1.842,1.876,1.907,1.955,1.963,1.948,1.908,1.979,1.973,1.976,2.071,2.168,2.029,2.273,2.369,2.531,2.682,2.788,2.625,2.425,2.434,2.321,2.282,2.134,2.377,2.301,2.304
