Entity,Code,Gini coefficient 1990,Gini coefficient 1991,Gini coefficient 1992,Gini coefficient 1993,Gini coefficient 1994,Gini coefficient 1995,Gini coefficient 1996,Gini coefficient 1997,Gini coefficient 1998,Gini coefficient 1999,Gini coefficient 2000,Gini coefficient 2001,Gini coefficient 2002,Gini coefficient 2003,Gini coefficient 2004,Gini coefficient 2005,Gini coefficient 2006,Gini coefficient 2007,Gini coefficient 2008,Gini coefficient 2009,Gini coefficient 2010,Gini coefficient 2011,Gini coefficient 2012,Gini coefficient 2013,Gini coefficient 2014,Gini coefficient 2015,Gini coefficient 2016,Gini coefficient 2017,Gini coefficient 2018,Gini coefficient 2019,Gini coefficient 2020,Gini coefficient 2021,Gini coefficient 2022,Gini coefficient 2023
Albania,ALB,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.27010342,0.3173898,0.3173898,0.3173898,0.30595654,0.30595654,0.30595654,0.2998467,0.2998467,0.2998467,0.2998467,0.28960484,0.28960484,0.34598896,0.32753733,0.33736297,0.33055663,0.30148283,0.30115768,0.2941963,0.2941963,0.2941963,0.2941963
Algeria,DZA,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.35330054,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732,0.27615732
Angola,AGO,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.5194472,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.42715514,0.51263994,0.51263994,0.51263994,0.51263994,0.51263994,0.51263994
Argentina (urban),,0.46754456,0.46754456,0.45455167,0.4484342,0.458985,0.4887874,0.49491405,0.4908586,0.50713223,0.49766296,0.5103861,0.53294307,0.5376044,0.5099472,0.48483652,0.47810388,0.46444556,0.4628268,0.4498683,0.43759,0.43676597,0.42737958,0.41437393,0.41086507,0.4182253,0.4182253,0.42345047,0.41434836,0.41719007,0.43314177,0.42743757,0.4244559,0.40736493,0.40736493
Armenia,ARM,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.36219725,0.3536436,0.34779674,0.33028087,0.37505633,0.35992354,0.29709986,0.31226057,0.2918814,0.2801588,0.29992583,0.29352945,0.29602262,0.30579662,0.3148329,0.32356772,0.32547948,0.3362184,0.344335,0.30031213,0.25131604,0.2794013,0.27945295,0.27945295
Australia,AUS,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.3257863,0.33462042,0.33462042,0.3349686,0.3305577,0.3305577,0.3305577,0.3305577,0.3542851,0.3542851,0.34656727,0.34656727,0.34656727,0.34656727,0.34398198,0.34398198,0.33685225,0.33685225,0.34332561,0.34332561,0.34332561,0.34332561,0.34332561,0.34332561
Austria,AUT,0.3082802,0.3082802,0.3082802,0.3082802,0.3082802,0.29914328,0.29317808,0.29065368,0.31340772,0.2967054,0.28964692,0.28964692,0.28964692,0.29465577,0.29788825,0.28715184,0.29587558,0.30579385,0.30437064,0.31494802,0.3025161,0.30801,0.30475533,0.30752888,0.3053535,0.30530685,0.3079501,0.2973688,0.30847305,0.3021043,0.29800606,0.30701602,0.30701602,0.30701602
Azerbaijan,AZE,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.3464838,0.36454937,0.25277665,0.2683288,0.26621592,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906,0.26554906
Bangladesh,BGD,0.27570805,0.27570805,0.27570805,0.27570805,0.27570805,0.32942984,0.32942984,0.32942984,0.32942984,0.32942984,0.33406532,0.33406532,0.33406532,0.33406532,0.33406532,0.33201292,0.33201292,0.33201292,0.33201292,0.33201292,0.32130313,0.32130313,0.32130313,0.32130313,0.32130313,0.32130313,0.32385272,0.32385272,0.32385272,0.32385272,0.32385272,0.32385272,0.33373156,0.33373156
Belarus,BLR,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.3201835,0.31738147,0.31167483,0.30576724,0.30336243,0.28821012,0.26479885,0.2755341,0.28275442,0.2961238,0.27826044,0.27689305,0.285666,0.2715255,0.26526198,0.26575053,0.27176666,0.25633225,0.25306615,0.2544457,0.25240526,0.25277847,0.24383356,0.24383356,0.24383356,0.24383356
Belgium,BEL,0.2494629,0.2494629,0.2494629,0.2494629,0.2494629,0.28410766,0.28410766,0.2683214,0.2683214,0.2683214,0.33135915,0.33135915,0.33135915,0.28143317,0.30541426,0.29336902,0.28054035,0.29237667,0.28373718,0.28551185,0.28374815,0.2806043,0.27490476,0.27668843,0.28134006,0.27729303,0.2758073,0.27387637,0.2721419,0.27219546,0.2595828,0.2657763,0.2657763,0.2657763
