Entity,Code,Literacy rate 1990,Literacy rate 1991,Literacy rate 1992,Literacy rate 1993,Literacy rate 1994,Literacy rate 1995,Literacy rate 1996,Literacy rate 1997,Literacy rate 1998,Literacy rate 1999,Literacy rate 2000,Literacy rate 2001,Literacy rate 2002,Literacy rate 2003,Literacy rate 2004,Literacy rate 2005,Literacy rate 2006,Literacy rate 2007,Literacy rate 2008,Literacy rate 2009,Literacy rate 2010,Literacy rate 2011,Literacy rate 2012,Literacy rate 2013,Literacy rate 2014,Literacy rate 2015,Literacy rate 2016,Literacy rate 2017,Literacy rate 2018,Literacy rate 2019,Literacy rate 2020,Literacy rate 2021,Literacy rate 2022,Literacy rate 2023
Afghanistan,AFG,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.75384,33.75384,33.75384,33.75384,33.75384,33.75384,37.0,37.0,37.0
Albania,ALB,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.5539,97.5539,98.81623,98.81623,98.81623,98.81623,98.81623,98.5,98.5
Algeria,DZA,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,73.0,73.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,79.6084,79.6084,79.6084,81.40784,81.40784,81.40784,81.40784,81.40784,81.40784
Andorra,AND,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Angola,AGO,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,66.0,66.23586,66.23586,66.23586,66.23586,66.23586,66.23586,66.23586,72.4,72.4
Antigua and Barbuda,ATG,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.95,98.95,98.95,98.95,98.95,98.95,98.95,98.95,98.95,98.95
Arab World,,54.59347,54.59347,54.59347,54.59347,54.59347,54.59347,54.59347,54.59347,54.59347,54.59347,66.006065,66.006065,66.006065,66.006065,66.006065,66.006065,66.006065,66.006065,66.006065,66.006065,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586,77.364586
Arab World (WB),,54.79577,55.80375,56.89017,57.67679,58.62235,59.60629,60.7434,61.85475,63.05042,64.12462,65.13143,66.26095,67.29463,70.01904,70.86917,71.40385,69.195,70.04465,71.01018,69.74596,70.43971,72.20359,73.06837,73.81129,74.31661,75.02054,73.71796,74.21221,74.55412,74.80752,75.12146,75.53957,75.81846,76.15426
Argentina,ARG,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.03402,98.08997,98.08997,98.08997,98.08997,98.08997,98.08997,98.08997,98.08997,98.08997
Armenia,ARM,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,99.76842,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
