Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,86.73788856,79.66656647,72.83260405,66.09165291,59.74762479,53.96555222,48.93087362,44.35889506,43.67916003,37.31282051,34.65534021,32.40558118,30.5098388,29.01903176,27.95233093,27.40676287,27.42825222,27.94419978,28.83067445,30.00154671,31.34500684,32.66911118,34.09811934,35.7060454,37.42074848,39.14465992,40.56158447,41.51283419,42.25042696,42.95432115,43.66429352,44.55466434,45.38193393
Albania,14.30155235,14.48356262,14.60456445,14.59746447,14.49610585,14.4039603,14.34861213,17.32106748,13.86425436,13.30770924,12.59462418,11.8001117,11.07075407,10.48567333,10.04683554,9.714457129,9.456090433,9.247262775,9.066343915,8.880469034,8.680360474,8.430261199,8.120795805,7.746356529,7.329461935,6.910798509,6.52089028,6.182847326,5.907072863,5.690909307,5.515814371,5.376167022,5.252144249
Algeria,20.20888181,19.91472294,19.63018628,19.32365186,18.97614874,18.55851046,18.05856421,17.47203788,16.81209229,16.10298348,15.37156249,14.63096886,13.88398311,13.79839297,12.56668177,12.06810124,11.66754394,11.34344938,11.070405,10.81946336,10.58560103,10.40099773,10.29592463,10.23753009,10.16196754,10.02742406,9.839100701,9.604716189,9.322065161,8.982224738,8.604673947,8.241612517,7.953159669
Andorra,11.72315292,11.24944714,10.78902019,10.39103053,10.02888388,9.654922932,9.310798822,8.973684562,8.647435228,8.355499246,8.051332529,7.782766488,7.508353558,7.266202556,7.014361093,6.769000862,6.544982533,6.32150435,6.106600103,5.877222116,5.683001791,5.482841833,5.278348433,5.089379907,4.920988064,4.741889698,4.586083064,4.443477565,4.319561342,4.198529171,4.091002286,3.989211794,3.895986506
Angola,116.8543282,109.2938167,116.914515,109.0609674,108.7841163,108.4344717,107.7151459,106.6945234,105.3343876,103.6687586,101.7477482,99.51516549,96.83838985,93.86838818,90.54687447,87.0003699,83.22249812,79.43481916,75.65688924,71.92114116,68.46401022,64.98250756,61.80452866,58.99857623,56.5543525,54.42674746,52.61991207,50.92958619,49.40928779,47.99782813,46.71350978,45.55197237,44.44918403
Anguilla,14.44114427,14.02833535,13.63527264,13.26399629,12.91166668,12.56814953,12.25439826,11.97020642,11.68684532,11.42895441,11.16834439,10.94307094,10.72865484,10.51568467,10.32169904,10.12719516,9.953241933,9.786992165,9.621017224,9.453657602,9.295900875,9.136282829,8.992881031,8.863269412,8.739890529,8.601269315,8.454334996,8.297394982,8.148487661,8.002564559,7.848787067,7.708182619,7.572938056
Antigua and Barbuda,19.49849202,18.16184085,17.05124873,16.1615605,15.43671366,14.83428468,14.29510546,13.82281017,13.40013507,13.02221746,12.65909001,12.31440749,11.99495729,11.70268176,11.46625443,11.27037571,11.08168143,10.90449011,10.73109593,10.53245195,10.31817966,10.07247369,9.816266267,9.545319288,9.264762145,8.977830186,8.691987287,8.39963443,8.11464744,7.84255584,7.596746389,7.398197631,7.262494386
Argentina,12.02421221,11.95102895,11.93579882,11.94041379,11.95243834,11.970358,11.99172598,12.0254936,12.06816213,12.08122646,12.00211316,11.80080455,11.51465676,11.18842857,10.91365825,10.8001204,10.87277304,11.04332862,11.20418817,11.33129657,11.4299439,11.49654382,11.49105533,11.36370381,11.14342737,10.88517626,10.61348286,10.30005746,9.927777084,9.54179918,9.219045205,8.989272806,8.822626451
Armenia,9.835256777,9.846242399,11.82127338,14.44143101,14.39704744,11.94996795,9.684693443,8.381380654,7.506643277,6.719729103,6.072244901,5.693057381,5.602141572,5.720289173,5.964685762,6.254236598,6.495811451,6.643700173,6.794020053,7.038224997,7.252006926,7.160077207,6.776728079,6.606133318,7.062105844,7.966166984,8.507256941,8.112137684,7.307097849,6.660998556,6.57264466,7.533118444,11.21209052
Australia,9.612246877,9.083713217,8.657269383,8.380971668,8.288178978,8.337932515,8.453485393,8.541680009,8.476800573,8.155431617,7.657512746,7.128309827,6.665133306,6.296822706,6.037093144,5.845167961,5.663341498,5.466165609,5.277645619,5.117869705,4.980398736,4.843881559,4.70233755,4.572380431,4.477610145,4.424821243,4.416563155,4.448279862,4.496636857,4.53429403,4.541599907,4.505019834,4.41922562
Austria,9.728174486,9.662629655,9.623331427,9.523332004,9.281561355,8.926089085,8.534836815,8.161306275,7.838021477,7.585063399,7.394127282,7.246687612,7.120937082,6.991860694,6.835061482,6.646251769,6.433367847,6.1996923,5.943969528,5.667931981,5.37399299,5.071340822,4.771391711,4.508717341,4.299075985,4.142429111,4.030537671,3.955252933,3.921898296,3.933814212,3.986879591,4.072673789,4.178208316
Azerbaijan,13.40194207,16.71452267,25.98661454,35.26575548,32.17732544,22.34857568,16.98125109,15.92120079,16.02322033,15.08672944,13.3875425,12.10611725,11.56543948,11.39084807,11.24728564,11.02195357,10.69776553,10.30068558,10.65951877,9.690250971,9.543869473,9.424604057,9.984926062,9.248061535,9.30775579,9.35723733,9.174409455,8.802151203,8.711544977,9.325294559,19.86593251,10.94474526,10.39079207
