Country,2024 CO2#2,2025 CO2#2,2026 CO2#2,2027 CO2#2,2028 CO2#2
Afghanistan,0.0,0.0,0.0,0.0,0.0
Africa,0.94650877,0.93724245,0.9354182,0.9362079,0.9408455
Africa (GCP),-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09
Albania,1.6125072,1.4436595,1.3843561,1.3828678,1.4038831
Algeria,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0
Anguilla,0.0,0.0,0.0,0.0,0.0
Antarctica,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,1.8626451e-09,1.8626451e-09,1.8626451e-09,1.8626451e-09,1.8626451e-09
Argentina,3.5990033,3.536271,3.539459,3.562731,3.5984282
Armenia,1.8939773,1.8190254,1.792742,1.7849714,1.793385
Aruba,7.450581e-09,7.450581e-09,7.450581e-09,7.450581e-09,7.450581e-09
Asia,3.6813743,3.445334,3.240366,3.0414913,2.9017997
Asia (GCP),0.0,0.0,0.0,0.0,0.0
Asia (excl. China and India),3.3847628,3.321771,3.2912848,3.2781057,3.283514
Australia,10.905383,9.4288435,8.527105,8.114691,8.029148
Austria,6.030107,4.346385,2.8831205,1.3297989,0.28876734
Azerbaijan,3.3616805,3.3530025,3.359876,3.3695788,3.379716
Bahamas,0.0,0.0,0.0,0.0,0.0
Bahrain,9.206523,8.899776,9.119485,9.461032,9.771744
Bangladesh,0.5942997,0.6413359,0.7254813,0.8394179,0.7702077
Barbados,-7.450581e-09,-1.1175871e-08,-1.1175871e-08,-1.1175871e-08,-1.1175871e-08
Belarus,4.6457386,4.619329,4.8920217,5.153742,5.3004155
Belgium,15.107742,14.315329,13.995202,13.781914,13.764496
Belize,-3.7252903e-09,-3.7252903e-09,-3.7252903e-09,-3.7252903e-09,-3.7252903e-09
Benin,0.4082747,0.37564415,0.37634286,0.3892843,0.40353188
Bermuda,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08
Bhutan,0.0,0.0,0.0,0.0,0.0
Bolivia,1.3821805,1.2849823,1.2672766,1.273994,1.2925596
Bonaire Sint Eustatius and Saba,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0
Botswana,1.0232612,-1.219446,-2.126718,-0.38325223,3.3018785
Brazil,1.9145466,1.830589,1.8179338,1.8342125,1.8706496
British Virgin Islands,7.450581e-09,7.450581e-09,7.450581e-09,7.450581e-09,7.450581e-09
Brunei,16.447428,16.17494,16.21712,16.367529,16.532352
Bulgaria,5.2105875,5.1059985,5.070707,5.0403233,5.0306854
Burkina Faso,0.23402624,0.21936813,0.2088306,0.19561808,0.18266228
Burundi,7.450581e-09,7.450581e-09,7.450581e-09,7.450581e-09,7.450581e-09
Cambodia,1.48175,1.587101,1.723352,1.7361635,1.5318043
Cameroon,0.4027256,0.40225154,0.40484458,0.4084501,0.41212583
Canada,7.8273807,5.6259055,3.6868262,1.6362655,0.07776146
Cape Verde,6.0535967e-09,6.0535967e-09,6.0535967e-09,6.0535967e-09,6.0535967e-09
Central African Republic,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,0.0
Central America (GCP),0.0,0.0,0.0,0.0,0.0
Chad,0.0,0.0,0.0,0.0,0.0
Chile,4.062316,3.858851,3.778577,3.7173653,3.705655
China,6.2827578,6.131955,5.9276824,5.6090293,5.212537
Christmas Island,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08
Colombia,1.6652726,1.5927107,1.5590851,1.5423431,1.5419576
Comoros,7.450581e-09,7.450581e-09,7.450581e-09,7.450581e-09,7.450581e-09
Congo,0.0,0.0,0.0,0.0,0.0
Cook Islands,0.0,0.0,0.0,0.0,0.0
Costa Rica,2.1660573,2.075588,2.0390673,2.0064132,1.9970634
Cote d'Ivoire,0.44131812,0.42322722,0.4166231,0.41400677,0.41565332
Croatia,5.126417,4.986272,4.9570704,4.978136,5.03099
Cuba,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08
Curacao,0.0,0.0,0.0,0.0,0.0
Cyprus,3.9207933,3.456704,3.2282903,3.0683758,2.953107
Czechia,9.512533,8.923138,8.601839,8.30031,8.175237
Democratic Republic of Congo,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09
Denmark,5.0854445,4.3392344,3.7820368,3.2594664,2.89892
Djibouti,0.0,0.0,0.0,0.0,0.0
Dominica,-3.7252903e-09,-3.7252903e-09,-3.7252903e-09,-3.7252903e-09,-3.7252903e-09
Dominican Republic,1.8732133,1.9193507,1.9812202,2.1154118,2.2726593
East Timor,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08,-1.4901161e-08
Ecuador,2.2002838,2.040346,1.9788096,1.9352037,1.9259481
Egypt,2.1670806,2.048268,1.9695647,1.8998094,1.884104
El Salvador,1.3335783,1.319071,1.3119311,1.3030013,1.2968124
Equatorial Guinea,-6.4028427e-09,-6.4028427e-09,-6.4028427e-09,-6.4028427e-09,-6.4028427e-09
Eritrea,0.0,0.0,0.0,0.0,0.0
Estonia,10.3026285,10.109432,10.244269,10.46368,10.72452
Eswatini,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09,-7.450581e-09
Ethiopia,0.01787105,-0.032572232,-0.043578215,-0.0309598,-0.016004452
Europe,5.860743,4.989515,4.2541494,3.4477985,2.8226898
Europe (GCP),0.0,0.0,0.0,0.0,0.0
Europe (excl. EU-27),7.2274647,7.122214,7.070927,7.051311,7.060169
Europe (excl. EU-28),6.594872,6.429428,6.3638434,6.344213,6.3445277
European Union (27),5.3007193,4.443302,3.8351035,3.2965615,2.942484
